"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"261","NIR.CI","total","0.15, p = 0.0345","0.17, p = 0.0036","0.39, p < 0.0001","0.390",707.32,43.6
"171","GDVI2","total","-0.15, p = 0.0538","0.31, p = 1e-04","0.50, p < 0.0001","0.389",708.09,44.37
"212","-","total","-","0.21, p = 2e-04","0.48, p < 0.0001","0.381",709.86,46.14
"151","NDVI","total","-0.10, p = 0.1918","0.27, p = 3e-04","0.51, p < 0.0001","0.384",710.13,46.41
"281","REG.CI","total","0.07, p = 0.2895","0.18, p = 0.0017","0.45, p < 0.0001","0.383",710.72,47
"181","RED","total","0.04, p = 0.4729","0.23, p = 3e-04","0.48, p < 0.0001","0.382",711.34,47.62
"201","GRE","total","-0.03, p = 0.5149","0.20, p = 2e-04","0.49, p < 0.0001","0.382",711.43,47.7099999999999
"161","GNDVI","total","-0.04, p = 0.6133","0.23, p = 0.0017","0.50, p < 0.0001","0.381",711.6,47.88
"214","REG","total","-0.03, p = 0.7086","0.22, p = 6e-04","0.49, p < 0.0001","0.381",711.72,48
"191","NIR","total","-0.02, p = 0.7646","0.22, p = 7e-04","0.49, p < 0.0001","0.381",711.77,48.05
"114","RED.CI","-","-0.17, p = 5e-04","-","0.54, p < 0.0001","0.377",711.86,48.14
"122","NIR.CI","-","0.22, p = 0.0015","-","0.43, p < 0.0001","0.372",713.93,50.2099999999999
"142","REG.CI","-","0.14, p = 0.0210","-","0.50, p < 0.0001","0.362",718.71,54.99
"211","GNDVI","-","0.13, p = 0.0347","-","0.50, p < 0.0001","0.360",719.58,55.86
"132","GRE.CI","-","-0.09, p = 0.0589","-","0.59, p < 0.0001","0.358",720.49,56.77
"52","NIR","-","0.12, p = 0.0991","-","0.50, p < 0.0001","0.356",721.34,57.62
"115","NDVI","-","0.09, p = 0.1119","-","0.53, p < 0.0001","0.356",721.54,57.8199999999999
"72","REG","-","0.10, p = 0.1353","-","0.52, p < 0.0001","0.355",721.84,58.12
"111","-","-","-","-","0.59, p < 0.0001","0.350",722.1,58.38
"32","GDVI2","-","0.08, p = 0.1751","-","0.55, p < 0.0001","0.355",722.23,58.51
"42","RED","-","-0.06, p = 0.2400","-","0.57, p < 0.0001","0.354",722.7,58.98
"62","GRE","-","-0.04, p = 0.4019","-","0.60, p < 0.0001","0.352",723.38,59.66
"22","NDVI.CI","total","0.43, p < 0.0001","0.24, p < 0.0001","-","0.345",726.38,62.66
"23","GNDVI.CI","total","0.40, p < 0.0001","0.28, p < 0.0001","-","0.343",727.54,63.8199999999999
"24","GDVI2.CI","total","0.38, p < 0.0001","0.29, p < 0.0001","-","0.328",734.16,70.4399999999999
"26","NIR.CI","total","0.40, p < 0.0001","0.23, p = 1e-04","-","0.322",736.78,73.0599999999999
"8","NDVI.CI","-","0.55, p < 0.0001","-","-","0.304",742.6,78.88
"12","NIR.CI","-","0.54, p < 0.0001","-","-","0.286",750.17,86.4499999999999
"9","GNDVI.CI","-","0.53, p < 0.0001","-","-","0.279",753.17,89.4499999999999
"28","REG.CI","total","0.31, p < 0.0001","0.28, p < 0.0001","-","0.278",755.73,92.01
"19","NIR","total","0.33, p < 0.0001","0.23, p = 7e-04","-","0.274",757.38,93.66
"25","RED.CI","total","-0.25, p < 0.0001","0.41, p < 0.0001","-","0.273",757.5,93.78
"10","GDVI2.CI","-","0.51, p < 0.0001","-","-","0.263",759.94,96.22
"21","REG","total","0.27, p = 1e-04","0.28, p < 0.0001","-","0.256",764.56,100.84
"5","NIR","-","0.49, p < 0.0001","-","-","0.245",767.05,103.33
"16","GNDVI","total","0.27, p = 9e-04","0.25, p = 0.0018","-","0.244",769.33,105.61
"14","REG.CI","-","0.47, p < 0.0001","-","-","0.224",775.01,111.29
"27","GRE.CI","total","-0.11, p = 0.0326","0.47, p < 0.0001","-","0.227",775.94,112.22
"2","GNDVI","-","0.47, p < 0.0001","-","-","0.218",777.24,113.52
"15","NDVI","total","0.15, p = 0.0752","0.35, p < 0.0001","-","0.223",777.36,113.64
"29","-","total","-","0.46, p < 0.0001","-","0.215",778.56,114.84
"7","REG","-","0.46, p < 0.0001","-","-","0.212",779.68,115.96
"20","GRE","total","0.02, p = 0.7144","0.46, p < 0.0001","-","0.215",780.42,116.7
"18","RED","total","0.02, p = 0.7781","0.47, p < 0.0001","-","0.215",780.48,116.76
"17","GDVI2","total","0.00, p = 0.9909","0.46, p < 0.0001","-","0.215",780.56,116.84
"1","NDVI","-","0.42, p < 0.0001","-","-","0.176",793,129.28
"3","GDVI2","-","0.37, p < 0.0001","-","-","0.137",806.82,143.1
"11","RED.CI","-","-0.34, p < 0.0001","-","-","0.116",814.02,150.3
"4","RED","-","-0.25, p < 0.0001","-","-","0.062",831.67,167.95
"13","GRE.CI","-","-0.07, p = 0.2142","-","-","0.005",849.13,185.41
"6","GRE","-","0.02, p = 0.6779","-","-","0.001",850.51,186.79
